run,seed,rho,model,macro_auc,elapsed_seconds,label_cardinality,label_density,realized_lds,median_conditional_cooccurrence,mean_pairwise_phi,mean_true_score_auc
7,7042,0.0,BR,0.6855394654686255,2.41451909999887,1.0,0.1,0.1095555555555555,0.11,0.010617283950617,0.7938177777777777
7,7042,0.0,CC,0.6798605939399811,2.8739029999997,1.0,0.1,0.1095555555555555,0.11,0.010617283950617,0.7938177777777777
7,7042,0.0,"BR-kNN (distance-weighted, k=10)",0.5792489309973867,2.046948499992141,1.0,0.1,0.1095555555555555,0.11,0.010617283950617,0.7938177777777777
7,7042,0.0,GCN,0.6710966228736649,13.901542000006884,1.0,0.1,0.1095555555555555,0.11,0.010617283950617,0.7938177777777777
7,7042,0.25,BR,0.6696175037546894,3.09435119999398,1.0,0.1,0.1744444444444444,0.17,0.0827160493827154,0.7927166666666666
7,7042,0.25,CC,0.6724563381407218,3.6929573000088567,1.0,0.1,0.1744444444444444,0.17,0.0827160493827154,0.7927166666666666
7,7042,0.25,"BR-kNN (distance-weighted, k=10)",0.5213704830874489,3.674597499993979,1.0,0.1,0.1744444444444444,0.17,0.0827160493827154,0.7927166666666666
7,7042,0.25,GCN,0.6424755019101709,39.99355470000592,1.0,0.1,0.1744444444444444,0.17,0.0827160493827154,0.7927166666666666
7,7042,0.5,BR,0.683144234243592,2.4529593999905046,1.0,0.1,0.2517777777777777,0.26,0.1686419753086409,0.7902055555555555
7,7042,0.5,CC,0.6421854753143783,2.91229839999869,1.0,0.1,0.2517777777777777,0.26,0.1686419753086409,0.7902055555555555
7,7042,0.5,"BR-kNN (distance-weighted, k=10)",0.5351449372941228,2.177896000008332,1.0,0.1,0.2517777777777777,0.26,0.1686419753086409,0.7902055555555555
7,7042,0.5,GCN,0.6114616427265646,46.4976852999971,1.0,0.1,0.2517777777777777,0.26,0.1686419753086409,0.7902055555555555
7,7042,0.75,BR,0.6954434823222723,3.041675699991174,1.0,0.1,0.3642222222222221,0.36,0.2935802469135795,0.78924
7,7042,0.75,CC,0.6687782911396782,3.1224966000008862,1.0,0.1,0.3642222222222221,0.36,0.2935802469135795,0.78924
7,7042,0.75,"BR-kNN (distance-weighted, k=10)",0.5635916484291774,2.1884000999998534,1.0,0.1,0.3642222222222221,0.36,0.2935802469135795,0.78924
7,7042,0.75,GCN,0.6083229469721444,37.40643959998852,1.0,0.1,0.3642222222222221,0.36,0.2935802469135795,0.78924
7,7042,0.9,BR,0.7417899711843352,3.4532713999942644,1.0,0.1,0.4326666666666666,0.42,0.3696296296296298,0.7977911111111111
7,7042,0.9,CC,0.7171784976852,3.592050400009612,1.0,0.1,0.4326666666666666,0.42,0.3696296296296298,0.7977911111111111
7,7042,0.9,"BR-kNN (distance-weighted, k=10)",0.5951127389720621,2.4702846000000136,1.0,0.1,0.4326666666666666,0.42,0.3696296296296298,0.7977911111111111
7,7042,0.9,GCN,0.6285050657614681,34.828899800006184,1.0,0.1,0.4326666666666666,0.42,0.3696296296296298,0.7977911111111111
